Participant,Session,List,Task,Word,Time,Score
5,1,B,Adaptive,chakori,Retention,0
5,1,B,Adaptive,chamari,Retention,1
5,1,B,Adaptive,lireri,Retention,1
5,1,B,Adaptive,moreri,Retention,1
5,1,B,Adaptive,apreri,Retention,1
5,1,B,Adaptive,fiante,Retention,1
5,1,B,Adaptive,fiani,Retention,0
5,1,B,Adaptive,fianca,Retention,1
5,1,B,Adaptive,fipito,Retention,0
5,1,B,Adaptive,fiato,Retention,1
5,1,B,Adaptive,fimuto,Retention,0
5,1,B,Adaptive,canto,Retention,1
5,1,B,Adaptive,esanto,Retention,1
5,1,B,Adaptive,peanto,Retention,0
5,1,B,Adaptive,estome,Retention,1
5,1,B,Adaptive,estowa,Retention,1
5,1,B,Adaptive,estosi,Retention,0
5,1,B,Adaptive,esperu,Retention,0
5,1,B,Adaptive,escaru,Retention,0
5,1,B,Adaptive,esturu,Retention,0
5,1,B,Adaptive,imtoru,Retention,0
5,1,B,Adaptive,netoru,Retention,1
5,1,B,Adaptive,rotoru,Retention,1
6,1,A,Adaptive,patito,Immediate,1
6,1,A,Adaptive,patira,Immediate,1
6,1,A,Adaptive,patizi,Immediate,1
6,1,A,Adaptive,pacore,Immediate,1
6,1,A,Adaptive,panire,Immediate,0
6,1,A,Adaptive,pahare,Immediate,1
6,1,A,Adaptive,detire,Immediate,0
6,1,A,Adaptive,cotire,Immediate,0
6,1,A,Adaptive,sutire,Immediate,0
6,1,A,Adaptive,socuo,Immediate,1
6,1,A,Adaptive,socuti,Immediate,0
6,1,A,Adaptive,socule,Immediate,1
6,1,A,Adaptive,soiata,Immediate,0
6,1,A,Adaptive,sorta,Immediate,1
6,1,A,Adaptive,soetta,Immediate,1
6,1,A,Adaptive,ficuta,Immediate,0
6,1,A,Adaptive,scuta,Immediate,0
6,1,A,Adaptive,pecuta,Immediate,0
6,1,A,Adaptive,anbera,Immediate,0
6,1,A,Adaptive,anbetu,Immediate,0
6,1,A,Adaptive,anbesi,Immediate,1
6,1,A,Adaptive,ancano,Immediate,0
6,1,A,Adaptive,andono,Immediate,0
6,1,A,Adaptive,anuino,Immediate,1
6,1,A,Adaptive,rebeno,Immediate,1
6,1,A,Adaptive,sibeno,Immediate,0
6,1,A,Adaptive,cubeno,Immediate,1
6,1,A,Adaptive,patito,Retention,1
6,1,A,Adaptive,patira,Retention,0
6,1,A,Adaptive,patizi,Retention,1
6,1,A,Adaptive,pacore,Retention,1
6,1,A,Adaptive,panire,Retention,0
6,1,A,Adaptive,pahare,Retention,1
6,1,A,Adaptive,detire,Retention,0
